prompt_name,entropy_threshold,margin_threshold,total_steps,accepted_count,accept_rate,precision_accept,false_accept_count,false_accept_rate,expensive_calls,estimated_saved_percent
logic_negation,0.55,0.15,40,25,0.625,0.92,2,0.08,15,27.5
logic_negation,0.55,0.2,40,23,0.575,0.9565217391304348,1,0.043478260869565216,17,22.5
logic_negation,0.55,0.25,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
logic_negation,0.55,0.3,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
code,0.3,0.1,40,37,0.925,1.0,0,0.0,3,57.5
code,0.3,0.15,40,37,0.925,1.0,0,0.0,3,57.5
code,0.3,0.2,40,37,0.925,1.0,0,0.0,3,57.5
code,0.3,0.25,40,36,0.9,1.0,0,0.0,4,55.0
code,0.3,0.3,40,34,0.85,1.0,0,0.0,6,50.0
code,0.35,0.1,40,37,0.925,1.0,0,0.0,3,57.5
code,0.35,0.15,40,37,0.925,1.0,0,0.0,3,57.5
code,0.35,0.2,40,37,0.925,1.0,0,0.0,3,57.5
code,0.35,0.25,40,36,0.9,1.0,0,0.0,4,55.0
code,0.35,0.3,40,34,0.85,1.0,0,0.0,6,50.0
code,0.4,0.1,40,37,0.925,1.0,0,0.0,3,57.5
code,0.4,0.15,40,37,0.925,1.0,0,0.0,3,57.5
code,0.4,0.2,40,37,0.925,1.0,0,0.0,3,57.5
code,0.4,0.25,40,36,0.9,1.0,0,0.0,4,55.0
code,0.4,0.3,40,34,0.85,1.0,0,0.0,6,50.0
code,0.45,0.1,40,37,0.925,1.0,0,0.0,3,57.5
code,0.45,0.15,40,37,0.925,1.0,0,0.0,3,57.5
code,0.45,0.2,40,37,0.925,1.0,0,0.0,3,57.5
code,0.45,0.25,40,36,0.9,1.0,0,0.0,4,55.0
code,0.45,0.3,40,34,0.85,1.0,0,0.0,6,50.0
code,0.5,0.1,40,37,0.925,1.0,0,0.0,3,57.5
code,0.5,0.15,40,37,0.925,1.0,0,0.0,3,57.5
code,0.5,0.2,40,37,0.925,1.0,0,0.0,3,57.5
code,0.5,0.25,40,36,0.9,1.0,0,0.0,4,55.0
code,0.5,0.3,40,34,0.85,1.0,0,0.0,6,50.0
code,0.55,0.1,40,37,0.925,1.0,0,0.0,3,57.5
code,0.55,0.15,40,37,0.925,1.0,0,0.0,3,57.5
code,0.55,0.2,40,37,0.925,1.0,0,0.0,3,57.5
code,0.55,0.25,40,36,0.9,1.0,0,0.0,4,55.0
code,0.55,0.3,40,34,0.85,1.0,0,0.0,6,50.0
long_simple,0.3,0.1,40,20,0.5,0.95,1,0.05,20,15.0
long_simple,0.3,0.15,40,20,0.5,0.95,1,0.05,20,15.0
long_simple,0.3,0.2,40,19,0.475,0.9473684210526315,1,0.05263157894736842,21,12.5
long_simple,0.3,0.25,40,18,0.45,0.9444444444444444,1,0.05555555555555555,22,10.0
long_simple,0.3,0.3,40,18,0.45,0.9444444444444444,1,0.05555555555555555,22,10.0
long_simple,0.35,0.1,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
long_simple,0.35,0.15,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
long_simple,0.35,0.2,40,21,0.525,0.9523809523809523,1,0.047619047619047616,19,17.5
long_simple,0.35,0.25,40,19,0.475,0.9473684210526315,1,0.05263157894736842,21,12.5
long_simple,0.35,0.3,40,18,0.45,0.9444444444444444,1,0.05555555555555555,22,10.0
long_simple,0.4,0.1,40,24,0.6,0.9583333333333334,1,0.041666666666666664,16,25.0
long_simple,0.4,0.15,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
long_simple,0.4,0.2,40,21,0.525,0.9523809523809523,1,0.047619047619047616,19,17.5
long_simple,0.4,0.25,40,19,0.475,0.9473684210526315,1,0.05263157894736842,21,12.5
long_simple,0.4,0.3,40,18,0.45,0.9444444444444444,1,0.05555555555555555,22,10.0
long_simple,0.45,0.1,40,24,0.6,0.9583333333333334,1,0.041666666666666664,16,25.0
long_simple,0.45,0.15,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
long_simple,0.45,0.2,40,21,0.525,0.9523809523809523,1,0.047619047619047616,19,17.5
long_simple,0.45,0.25,40,19,0.475,0.9473684210526315,1,0.05263157894736842,21,12.5
long_simple,0.45,0.3,40,18,0.45,0.9444444444444444,1,0.05555555555555555,22,10.0
long_simple,0.5,0.1,40,24,0.6,0.9583333333333334,1,0.041666666666666664,16,25.0
long_simple,0.5,0.15,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
long_simple,0.5,0.2,40,21,0.525,0.9523809523809523,1,0.047619047619047616,19,17.5
long_simple,0.5,0.25,40,19,0.475,0.9473684210526315,1,0.05263157894736842,21,12.5
long_simple,0.5,0.3,40,18,0.45,0.9444444444444444,1,0.05555555555555555,22,10.0
long_simple,0.55,0.1,40,24,0.6,0.9583333333333334,1,0.041666666666666664,16,25.0
long_simple,0.55,0.15,40,22,0.55,0.9545454545454546,1,0.045454545454545456,18,20.0
long_simple,0.55,0.2,40,21,0.525,0.9523809523809523,1,0.047619047619047616,19,17.5
long_simple,0.55,0.25,40,19,0.475,0.9473684210526315,1,0.05263157894736842,21,12.5
long_simple,0.55,0.3,40,18,0.45,0.9444444444444444,1,0.05555555555555555,22,10.0
ALL,0.3,0.1,200,156,0.78,0.967948717948718,5,0.03205128205128205,44,43.0
