prompt_id,category,best_mode,second_best_mode,best_score,second_best_score,score_margin,oracle_confidence,best_mode_confident,best_saved_percent,best_similarity,best_jaccard,best_repeated_3gram_rate,calibrated_score,guarded_score,speculative_score
general_005,general,adaptive_calibrated,adaptive_guarded_v3,1.0072655350978135,1.0072655350978135,0.0,tie,inconclusive,49.375,0.7721518987341772,0.5454545454545454,0.0,1.0072655350978135,1.0072655350978135,0.8678703703703704
general_006,general,speculative_adaptive,adaptive_calibrated,0.08781250000000002,0.05500000000000001,0.03281250000000001,low,inconclusive,43.90625,0.0,0.0,0.0,0.05500000000000001,0.05500000000000001,0.08781250000000002
general_007,general,adaptive_calibrated,adaptive_guarded_v3,0.7887160302717577,0.7887160302717577,0.0,tie,inconclusive,21.250000000000004,0.6432748538011696,0.4117647058823529,0.0,0.7887160302717577,0.7887160302717577,0.4052143753485778
general_008,general,adaptive_calibrated,adaptive_guarded_v3,0.36973930481283424,0.36973930481283424,0.0,tie,inconclusive,46.25,0.38235294117647056,0.125,0.2727272727272727,0.36973930481283424,0.36973930481283424,0.33098930481283423
general_009,general,adaptive_calibrated,adaptive_guarded_v3,0.6554356330014225,0.5534649122807017,0.10197072072072078,high,adaptive_calibrated,24.375000000000004,0.5540540540540541,0.21052631578947367,0.0,0.6554356330014225,0.5534649122807017,0.5264073202054795
general_010,general,adaptive_calibrated,adaptive_guarded_v3,1.1398300677310111,1.1398300677310111,0.0,tie,inconclusive,43.125,0.8805031446540881,0.6923076923076923,0.0,1.1398300677310111,1.1398300677310111,1.1263925677310112
logic_001,logic,adaptive_calibrated,adaptive_guarded_v3,1.0216666666666665,1.0216666666666665,0.0,tie,inconclusive,33.75,0.7875,0.6666666666666666,0.0,1.0216666666666665,1.0216666666666665,0.28455873270750986
logic_002,logic,speculative_adaptive,adaptive_calibrated,0.8748741883116884,0.8611741734910523,0.013700014820636097,tie,inconclusive,38.59375000000001,0.6883116883116883,0.4375,0.0,0.8611741734910523,0.8611741734910523,0.8748741883116884
logic_003,logic,speculative_adaptive,adaptive_calibrated,0.9353723948188547,0.5574247491638796,0.3779476456549751,high,speculative_adaptive,10.781250000000009,0.7814569536423841,0.5294117647058824,0.0,0.5574247491638796,0.5574247491638796,0.9353723948188547
logic_004,logic,adaptive_calibrated,adaptive_guarded_v3,0.7936530398322851,0.7936530398322851,0.0,tie,inconclusive,33.75,0.6289308176100629,0.3888888888888889,0.0,0.7936530398322851,0.7936530398322851,0.5495903526504942
logic_005,logic,speculative_adaptive,adaptive_calibrated,0.13694444444444445,0.10537878787878789,0.03156565656565656,high,speculative_adaptive,1.2500000000000067,0.10666666666666667,0.1111111111111111,0.0,0.10537878787878789,0.10537878787878789,0.13694444444444445
